년도,시도,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2010,서울특별시 강서구3,37.5464518,126.8574263,서울특별시 강서구 화곡동 동서파크빌라 ,3 ,4 ,1 ,1 ,2 ,0 
2010,서울특별시 강서구4,37.5381184,126.8471024,서울특별시 강서구 화곡동 화곡역 ,4 ,4 ,0 ,3 ,1 ,0 
2010,서울특별시 강서구5,37.54023,126.8414836,서울특별시 강서구 화곡동 신월초교입구 ,4 ,4 ,0 ,4 ,0 ,0 
2010,서울특별시 강서구6,37.553225,126.849686,서울특별시 강서구 공항동 강서구청입구 ,4 ,4 ,1 ,2 ,1 ,0 
2010,서울특별시 강서구7,37.5481734,126.8366227,서울특별시 강서구 화곡동 솔표약국 ,5 ,5 ,1 ,2 ,2 ,0 
2010,서울특별시 구로구1,37.4958466,126.8435124,서울특별시 구로구 오류동 오류동역앞 ,3 ,3 ,0 ,1 ,2 ,0 
2010,서울특별시 구로구2,37.4901258,126.8385254,서울특별시 구로구 오류동 경인로-남부순환로진출램프4 ,3 ,3 ,0 ,2 ,0 ,1 
2010,서울특별시 금천구1,37.4527323,126.9016377,서울특별시 금천구 시흥동 이가네 ,3 ,4 ,0 ,1 ,3 ,0 
2010,서울특별시 금천구2,37.4895704,126.8863695,서울특별시 금천구 독산동 금천장난감나라 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 금천구3,37.4557971,126.9077017,서울특별시 금천구 시흥동 시흥맨션 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 금천구4,37.4492857,126.9104662,"서울특별시 금천구 시흥동  A,B ",4 ,5 ,0 ,4 ,0 ,1 
2010,서울특별시 영등포구1,37.516373,126.9077556,서울특별시 영등포구 영등포동 경원극장 ,3 ,3 ,0 ,2 ,0 ,1 
2010,서울특별시 영등포구2,37.526344,126.896256,서울특별시 영등포구 당산동3가 영등포구청 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 영등포구3,37.521348,126.904793,서울특별시 영등포구 영등포동6가 영등포시장앞 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 영등포구4,37.5066519,126.9013954,서울특별시 영등포구 신길동 도림사거리 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 영등포구5,37.5109122,126.9126939,서울특별시 영등포구 신길동 영등포농협 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 영등포구6,37.521638,126.9049865,서울특별시 영등포구 영등포동7가 영등포시장역 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 동작구1,37.5018753,126.9348644,서울특별시 동작구 상도동 동광교회 보 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 동작구2,37.5054503,126.9436269,서울특별시 동작구 상도동 한진슈퍼마켓앞 ,6 ,6 ,0 ,3 ,3 ,0 
2010,서울특별시 관악구1,37.4835715,126.9108118,서울특별시 관악구 신림동 신도브래뉴앞 ,3 ,3 ,0 ,1 ,2 ,0 
2010,서울특별시 관악구2,37.472814,126.91919,서울특별시 관악구 신림동 현희정형외과앞 ,3 ,5 ,0 ,1 ,4 ,0 
2010,서울특별시 관악구3,37.4846548,126.9171444,서울특별시 관악구 신림동 관악종합시장 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 관악구4,37.4706014,126.9369485,서울특별시 관악구 신림동 신림4동사무소입구 ,3 ,4 ,0 ,2 ,1 ,1 
2010,서울특별시 관악구5,37.481794,126.9145059,서울특별시 관악구 신림동 난곡사거리 ,3 ,3 ,0 ,3 ,0 ,0 
